timestamp,symbol,n_trades,buy_notional,sell_notional,imbalance,large_trade_threshold,large_trade_count,large_trade_net_notional
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
2026-09-26 17:55:12.603000+00:00,BTC/USDT,500,282159.32,198407.31,0.1743,3721.71,25,19200.38
